galaxy_id,m_baryonic_10_11_msun,observed_einstein_radius_kpc,M_baryonic_absolute_sun,Calculated_R_BB_kpc
SDSSJ5069-1900,1.81334468366148,14.8930034046697,181334468366.14798,14.963922327415489
SDSSJ5704-4242,1.82992616832846,14.93589912392,182992616832.846,15.03218276598707
SDSSJ5556-9269,1.86964942529168,15.2972247872771,186964942529.168,15.194462923835394
SDSSJ5065-1825,1.94424853511867,15.4750992365488,194424853511.867,15.494627991234012
SDSSJ2405-6853,1.96353853460856,15.9459725353962,196353853460.85602,15.571303798832155
SDSSJ6260-2035,1.98379738788906,16.1628645855426,198379738788.906,15.651426302455166
SDSSJ8567-5070,2.02738238038114,15.5953512749876,202738238038.114,15.822426884242043
SDSSJ6577-9502,2.08491496066364,16.3187465456459,208491496066.364,16.045358924052593
SDSSJ6101-6541,2.09087997676475,15.8629359437495,209087997676.475,16.068295702259203
SDSSJ1231-8198,2.15069847265713,16.0636926099564,215069847265.713,16.29652573917658
SDSSJ6501-2500,2.18342085686753,16.9548757211748,218342085686.75302,16.420031685498166
SDSSJ4716-1865,2.18796784640224,16.1957604627342,218796784640.224,16.43712021003374
SDSSJ9501-9962,2.1925245228433,16.4590631871491,219252452284.33,16.454227335944193
SDSSJ3211-6829,2.26833100583521,17.1340108144601,226833100583.521,16.73626247040121
SDSSJ3246-9096,2.3259763575736,17.0515885798762,232597635757.36,16.947588543445214
SDSSJ3563-4727,2.36185378451598,17.0751394004029,236185378451.59802,17.077793884880883
SDSSJ7506-1450,2.44560160965414,17.6780162971359,244560160965.414,17.37793303467436
SDSSJ9342-3975,2.50954698056386,17.3921156602305,250954698056.38602,17.603658250336682
SDSSJ6418-9440,2.61128620425982,17.7167678529548,261128620425.982,17.95694699576983
SDSSJ6946-2129,2.62842600885533,18.0671362229515,262842600885.533,18.015782976333515
SDSSJ7639-3645,2.64111554617976,18.0152721992146,264111554617.976,18.059218989010088
SDSSJ4658-9473,2.64150047522976,17.9205518105479,264150047522.976,18.060534960352324
SDSSJ8323-1021,2.67622087301812,18.2114043169599,267622087301.81198,18.178843061534163
SDSSJ2599-8473,2.77165565652537,17.8667211861237,277165565652.537,18.50013512026757
SDSSJ9299-9636,2.92749559109411,19.0058425339682,292749559109.411,19.013119964191013
SDSSJ3891-6892,2.9464609862926,18.0191608102818,294646098629.26,19.0746075388234
SDSSJ4479-4620,3.01189182945874,19.6984936549371,301189182945.87396,19.285235595783405
SDSSJ6637-8829,3.03290175984313,18.789410991523,303290175984.313,19.352382314873925
SDSSJ5309-4056,3.04357295773092,19.6225020346346,304357295773.092,19.386397885364378
SDSSJ6254-5409,3.11081702473685,20.3085861526628,311081702473.685,19.599387394598207
SDSSJ8213-6020,3.11133494510211,18.6755130444868,311133494510.211,19.60101887908052
SDSSJ1277-8128,3.16645354180269,20.3749462577632,316645354180.269,19.77387679123856
SDSSJ1163-2773,3.19359800697392,20.0757878149597,319359800697.39197,19.858451833977572
SDSSJ6879-7401,3.19766604387844,19.8669628042671,319766604387.844,19.871095755499
SDSSJ1396-3864,3.20851417156065,19.2635805367703,320851417156.065,19.904773704400988
SDSSJ4905-2654,3.25330091616436,20.3051799334142,325330091616.436,20.043214825267682
SDSSJ6751-3690,3.26229020649419,20.4201972654871,326229020649.419,20.07088671795551
SDSSJ8285-6746,3.33695369385701,20.5359479131519,333695369385.701,20.299266890225297
SDSSJ7974-2567,3.48101932461726,20.5869145627926,348101932461.726,20.732824940075684
SDSSJ3645-8725,3.49671273043307,20.7465632663908,349671273043.307,20.779507063377935
SDSSJ1775-5185,3.50590678881174,21.2350498206415,350590678881.174,20.806807359094286
SDSSJ3005-6432,3.50996634049659,20.70787456333,350996634049.659,20.818850159693934
SDSSJ2822-1953,3.58336731160477,20.4408193958895,358336731160.477,21.03540739107107
SDSSJ6860-4334,3.60698930595867,21.2969847122614,360698930595.867,21.104627487151685
SDSSJ8801-1603,3.6288954617399,21.2725313870546,362889546173.99,21.168617340375548
SDSSJ1921-7371,3.68748918404998,22.1216165063755,368748918404.998,21.338831847385887
SDSSJ1595-7772,3.71331014665647,21.7086233474561,371331014665.647,21.41341213278657
SDSSJ3684-3187,3.72665796001415,21.4153539377727,372665796001.415,21.451863787061125
SDSSJ8492-8686,3.78330788672944,21.6393756464037,378330788672.944,21.614296585377513
SDSSJ6905-3169,3.78429325785514,22.3167361272177,378429325785.514,21.617111148425366
SDSSJ6515-7372,3.83691682794658,21.1452566527326,383691682794.658,21.766893689947352
SDSSJ4139-3013,3.89431219371617,21.5512000147812,389431219371.617,21.92909181004459
SDSSJ1031-8060,3.92656801808173,21.7421928950644,392656801808.173,22.019721713593167
SDSSJ5740-9803,3.92659781226822,21.2305025457469,392659781226.822,22.0198052545439
SDSSJ1754-2090,3.9576971312044,22.1856562653659,395769713120.44,22.106833566016892
SDSSJ1672-2887,4.0186566219454,22.13928744962,401865662194.54,22.27643618856759
SDSSJ3381-9496,4.01938119343185,22.5941216797007,401938119343.185,22.278444340110315
SDSSJ5757-8514,4.02693325992291,22.3355202777417,402693325992.291,22.299364144437767
SDSSJ1166-3608,4.04298007059324,22.3330121587003,404298007059.324,22.34375001820797
SDSSJ8522-8818,4.04941901733924,21.7475262301631,404941901733.92395,22.361535534923963
SDSSJ3740-5451,4.08401424298726,21.6794622321313,408401424298.726,22.456852556193923
SDSSJ1751-8159,4.15428876125618,22.8191025411456,415428876125.618,22.649238444343528
SDSSJ6178-2452,4.18037059470198,23.7525982681068,418037059470.198,22.720226451974447
SDSSJ9547-2570,4.21616280538169,22.406751073081,421616280538.169,22.81728410053447
SDSSJ8798-8494,4.25993660794674,23.2478893717549,425993660794.67395,22.935427093142604
SDSSJ5545-2205,4.28350606163209,22.750166491002,428350606163.209,22.99878834370356
SDSSJ3726-1513,4.30007911455524,23.3131183806623,430007911455.524,23.04323699879257
SDSSJ1894-1051,4.38457354003609,24.0724656496165,438457354003.609,23.268529758624922
SDSSJ4390-7026,4.4499183513425,23.7860575146872,444991835134.25,23.441277968543886
SDSSJ3060-8190,4.48397473578881,23.841204732133,448397473578.88104,23.530808099327285
SDSSJ2515-1627,4.56375747697388,23.4087692146906,456375747697.388,23.739225306362226
SDSSJ4953-6772,4.59098158381372,23.3840356737546,459098158381.372,23.809925629906797
SDSSJ3740-9521,4.64596933449452,24.1027318632952,464596933449.452,23.952091002140563
SDSSJ7070-7983,4.68644834575361,23.2190967757394,468644834575.361,24.05620859024266
SDSSJ4000-7642,4.70399985400203,24.5206782811104,470399985400.20294,24.101213690883803
SDSSJ9936-4978,4.70761287527748,23.7750708584016,470761287527.748,24.110467675398986
SDSSJ4989-8713,4.73058842436727,24.3750175297711,473058842436.72705,24.16923174559636
